基金代码,基金简称,最新净值(元),日增长率(%),最新净值日期,是否指数基金,跟踪指数,跟踪指数市盈率,跟踪指数市净率(倍),跟踪指数股息率(%),跟踪指数roe(%),近6个月收益率(%),折扣率
100038.OF,富国沪深300指数增强,2.15,-0.33,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-11.40,0.10
100053.OF,富国上证指数etf联接,1.59,0.00,20210811.,指数基金,上证指数,15.86,1.44,2.23,4.77,-3.41,0.10
110003.OF,易方达上证50增强a,2.25,-1.11,20210811.,指数基金,上证50,12.72,1.31,2.72,5.42,-22.20,0.10
110019.OF,易方达深证100etf联接a,1.94,-0.58,20210811.,指数基金,深证100,32.92,4.61,1.01,7.63,-10.58,0.10
110020.OF,易方达沪深300etf联接a,1.82,-0.50,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-10.83,0.10
110021.OF,易方达上证中盘etf联接a,2.02,0.07,20210811.,指数基金,上证中盘,12.67,1.21,2.58,5.04,1.45,0.10
110026.OF,易方达创业板etf联接a,3.42,-0.86,20210811.,指数基金,创业板指,69.81,9.45,0.39,7.76,1.93,0.10
110030.OF,易方达沪深300量化增强,3.35,-0.58,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-10.49,0.10
110031.OF,易方达恒生中国企业etf联接人民币份额a,1.04,0.51,20210811.,指数基金,恒生中国企业指数,--,--,2.58,5.77,-17.44,0.10
110032.OF,易方达恒生中国企业etf联接美元现汇份额a,0.16,0.50,20210811.,指数基金,恒生中国企业指数,--,--,2.58,5.77,-18.01,--
110033.OF,易方达恒生中国企业etf联接美元现钞份额a,0.16,0.50,20210811.,指数基金,恒生中国企业指数,--,--,2.58,5.77,-18.01,--
118002.OF,易方达标普消费品指数a,2.91,0.14,20210810.,指数基金,--,--,--,--,--,7.71,0.10
159702.OF,汇添富中证人工智能主题etf,1.16,-0.93,20210811.,指数基金,CS人工智,64.91,6.09,0.55,5.09,--,--
159703.OF,天弘中证新材料主题etf,1.28,0.24,20210811.,指数基金,新材料,75.06,9.10,0.46,6.83,--,--
159708.OF,西部利得深证红利etf,0.93,0.00,20210811.,指数基金,深证红利,--,--,--,--,--,--
159709.OF,工银瑞信深证物联网50etf,1.06,-0.91,20210811.,指数基金,物联网50,45.29,6.60,0.78,7.95,--,--
159710.OF,建信中证智能电动汽车etf,1.00,0.78,20210811.,指数基金,智能电车,89.69,5.71,0.48,3.35,--,--
159713.OF,富国中证稀土产业etf,1.02,1.37,20210811.,指数基金,稀土产业,73.17,3.53,0.47,2.48,--,--
159716.OF,华宝深创100etf,1.03,-0.58,20210811.,指数基金,深创100,47.22,5.97,0.71,6.86,--,--
159720.OF,泰康中证智能电动汽车etf,1.05,0.79,20210811.,指数基金,智能电车,89.69,5.71,0.48,3.35,--,--
159721.OF,永赢深证创新100etf,1.02,-0.66,20210811.,指数基金,深创100,47.22,5.97,0.71,6.86,--,--
159725.OF,工银瑞信中证线上消费主题etf,0.86,-0.90,20210811.,指数基金,线上消费,37.11,3.12,0.68,4.38,--,--
159729.OF,汇添富中证沪港深互联网etf,0.93,-1.19,20210811.,指数基金,SHS互联网,52.79,4.98,0.27,5.01,--,--
159732.OF,华夏国证消费电子主题etf,--,--,--,指数基金,--,--,--,--,--,--,--
159735.OF,银华中证港股通消费主题etf,0.92,-0.70,20210811.,指数基金,HKC消费,--,--,0.61,6.85,--,--
159740.OF,大成恒生科技etf(qdii),0.86,-0.15,20210811.,指数基金,恒生科技指数,--,--,0.20,4.78,--,--
159741.OF,嘉实恒生科技etf(qdii),0.85,-0.15,20210811.,指数基金,恒生科技指数,--,--,0.20,4.78,--,--
159742.OF,博时恒生科技etf(qdii),0.86,-0.15,20210811.,指数基金,恒生科技指数,--,--,0.20,4.78,--,--
159745.OF,国泰中证全指建筑材料etf,0.98,-0.57,20210811.,指数基金,建筑材料,11.33,1.82,2.83,8.56,--,--
159747.OF,南方中证香港科技etf(qdii),0.92,-1.32,20210811.,指数基金,港股科技,--,--,0.21,4.32,--,--
159752.OF,申万菱信中证内地新能源主题etf,1.05,0.02,20210811.,指数基金,新能源,63.44,7.80,0.41,7.04,--,--
159755.OF,广发国证新能源车电池etf,1.32,2.16,20210811.,指数基金,新能电池,149.65,10.63,0.16,3.99,--,--
159757.OF,景顺长城国证新能源车电池etf,1.03,2.14,20210811.,指数基金,新能电池,149.65,10.63,0.16,3.99,--,--
159763.OF,建信中证新材料主题etf,--,--,--,指数基金,--,--,--,--,--,--,--
159766.OF,富国中证旅游主题etf,0.88,-0.08,20210811.,指数基金,中证旅游,-47.16,2.63,0.62,-2.73,--,--
159767.OF,兴银国证新能源车电池etf,1.00,--,20210806.,指数基金,新能电池,149.65,10.63,0.16,3.99,--,--
159780.OF,南方中证科创创业50etf,0.96,-1.40,20210811.,指数基金,科创创业50,99.51,12.12,0.28,7.53,--,--
159781.OF,易方达中证科创创业50etf,0.95,-1.37,20210811.,指数基金,科创创业50,99.51,12.12,0.28,7.53,--,--
159782.OF,银华中证科创创业50etf,0.95,-1.34,20210811.,指数基金,科创创业50,99.51,12.12,0.28,7.53,--,--
159783.OF,华夏中证科创创业50etf,0.96,-1.39,20210811.,指数基金,科创创业50,99.51,12.12,0.28,7.53,--,--
159786.OF,银华中证虚拟现实主题etf,1.00,0.12,20210811.,指数基金,中证VR,51.34,4.57,0.84,4.73,--,--
159790.OF,华夏中证内地低碳经济主题etf,1.00,0.55,20210811.,指数基金,内地低碳,52.23,5.36,0.72,5.68,--,--
159801.OF,广发国证半导体芯片etf,1.70,0.43,20210811.,指数基金,国证芯片,108.35,10.17,0.19,5.38,34.96,--
159803.OF,易方达中证浙江新动能etf,1.34,0.13,20210810.,指数基金,--,--,--,--,--,-9.98,--
159804.OF,国寿安保创精选88etf,1.41,0.53,20210811.,指数基金,创精选88,64.71,5.02,0.43,4.19,34.74,--
159805.OF,鹏华中证传媒etf,0.92,0.12,20210811.,指数基金,中证传媒,33.28,2.26,1.32,3.51,-14.64,--
159806.OF,国泰中证新能源汽车etf,3.18,1.91,20210811.,指数基金,CS新能车,215.18,12.65,0.17,3.25,37.84,--
159807.OF,易方达中证科技50etf,0.83,-1.06,20210811.,指数基金,科技50,65.48,8.80,0.48,7.50,-5.73,--
159808.OF,融通创业板etf,1.29,-0.91,20210811.,指数基金,创业板指,69.81,9.45,0.39,7.76,1.80,--
159809.OF,博时大湾区etf,1.19,0.28,20210811.,指数基金,恒生沪深港通大湾区,10.54,1.28,1.98,6.48,-12.63,--
159810.OF,浦银安盛创业板etf,1.36,-0.95,20210811.,指数基金,创业板指,69.81,9.45,0.39,7.76,2.77,--
159811.OF,博时5g50etf,1.20,-0.64,20210811.,指数基金,5G50,38.26,4.09,0.69,5.78,5.88,--
159812.OF,前海开源黄金etf,3.59,-0.31,20210811.,指数基金,--,--,--,--,--,-5.48,--
159813.OF,芯片,1.62,0.48,20210811.,指数基金,国证芯片,108.35,10.17,0.19,5.38,37.39,--
159814.OF,西部利得创业板大盘etf,0.69,-0.97,20210811.,指数基金,创业大盘,80.12,13.55,0.33,10.32,0.83,--
159815.OF,招商中证浙江100etf,1.20,0.22,20210811.,指数基金,--,--,--,--,--,-3.97,--
159816.OF,鹏华中证0-4年期地方政府债etf,101.53,-0.04,20210811.,指数基金,0-4年地债,--,--,--,--,1.94,--
159819.OF,易方达中证人工智能主题etf,1.03,-0.88,20210811.,指数基金,CS人工智,64.91,6.09,0.55,5.09,8.89,--
159820.OF,天弘中证500etf,1.11,0.80,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,9.54,--
159821.OF,中银证券创业板etf,1.27,-0.93,20210811.,指数基金,创业板指,69.81,9.45,0.39,7.76,1.22,--
159822.OF,新经济,0.90,2.30,20210810.,指数基金,--,--,--,--,--,-30.13,--
159823.OF,嘉实恒生中国企业etf(qdii),0.92,0.39,20210811.,指数基金,恒生中国企业指数,--,--,2.58,5.77,-17.88,--
159824.OF,博时新能源汽车etf,1.57,1.93,20210811.,指数基金,CS新能车,215.18,12.65,0.17,3.25,40.30,--
159825.OF,富国中证农业主题etf,0.94,-0.98,20210811.,指数基金,中证农业,19.79,3.75,1.86,10.70,-20.46,--
159827.OF,银华中证农业主题etf,0.97,-0.93,20210811.,指数基金,中证农业,19.79,3.75,1.86,10.70,-17.73,--
159828.OF,国泰中证医疗etf,1.00,-2.06,20210811.,指数基金,中证医疗,60.96,12.44,0.47,12.23,-10.43,--
159830.OF,天弘上海金etf,3.60,-0.13,20210811.,指数基金,--,--,--,--,--,--,--
159835.OF,建信中证创新药产业etf,1.12,-1.52,20210811.,指数基金,--,--,--,--,--,--,--
159836.OF,天弘创业板300etf,1.16,-0.39,20210811.,指数基金,创业300,75.16,7.65,0.40,5.65,--,--
159837.OF,易方达中证生物科技主题etf,0.95,-2.32,20210811.,指数基金,中证生科,68.90,11.24,0.41,9.45,-8.92,--
159838.OF,博时医药50etf,1.02,-2.49,20210811.,指数基金,医药50,45.69,8.76,0.73,10.50,--,--
159839.OF,汇添富国证生物医药etf,0.97,-2.34,20210811.,指数基金,生物医药,74.76,11.28,0.41,9.18,-5.91,--
159840.OF,工银瑞信国证新能源车电池etf,1.00,0.00,20210806.,指数基金,新能电池,149.65,10.63,0.16,3.99,--,--
159841.OF,天弘中证全指证券公司etf,0.98,-0.84,20210811.,指数基金,证券公司,22.52,1.75,1.54,4.18,-0.58,--
159842.OF,银华中证全指证券公司etf,1.02,-0.84,20210811.,指数基金,证券公司,22.52,1.75,1.54,4.18,--,--
159843.OF,招商国证食品饮料etf,0.89,-1.78,20210811.,指数基金,国证食品,49.09,9.82,1.07,10.76,-17.99,--
159845.OF,华夏中证1000etf,0.79,0.78,20210811.,指数基金,中证1000,46.67,3.11,0.87,3.50,--,--
159846.OF,建信中证1000etf,1.00,0.07,20210806.,指数基金,中证1000,46.67,3.11,0.87,3.50,--,--
159847.OF,易方达中证医疗etf,0.90,-1.96,20210811.,指数基金,中证医疗,60.96,12.44,0.47,12.23,--,--
